year,score,votes,budget,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,director_codif,writer_codif,director_mapped,votos_por_director,gross
2010.0,6.4,165000.0,36000000.0,101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,2305,6.0,110000.0,64780213.0
1999.0,6.5,15000.0,45000000.0,120.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2194,2354,4.0,15000.0,4956401.0
1988.0,3.8,15000.0,20000000.0,98.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,521,4.0,5800.0,11798302.0
2005.0,7.4,39000.0,15000000.0,121.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805,1556,7.0,35500.0,12045362.0
2012.0,6.6,46000.0,25000000.0,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186,3373,6.0,55000.0,56012642.0
2002.0,4.0,39000.0,13000000.0,94.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2325,1067,4.0,26560.0,37664855.0
1987.0,5.4,9100.0,5000000.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,524,5.0,6225.0,6880310.0
1993.0,6.2,8000.0,6500000.0,108.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,2798,5.0,174428.57,24103594.0
2011.0,6.1,96000.0,28000000.0,83.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2445,2937,6.0,275400.0,40662632.0
2012.0,3.7,41000.0,5000000.0,83.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,3273,5.0,35500.0,8518634.0
2008.0,6.5,22000.0,500000.0,122.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,69,112,6.0,15025.0,33473297.0
2005.0,6.5,108000.0,52000000.0,113.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,3614,6.0,108000.0,77663556.0
2011.0,7.8,587000.0,15000000.0,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,1660,5.0,166666.67,77187281.0
1984.0,5.9,4400.0,15000000.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1470,3104,6.0,175610.0,6650206.0
1998.0,7.0,12000.0,30000000.0,127.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,374,259,5.0,27800.0,26616840.0
1984.0,6.7,19000.0,14500000.0,93.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864,4400,6.0,27535.29,8089290.0
2014.0,6.8,56000.0,25000000.0,110.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1117,3872,7.0,110857.14,29824199.0
1993.0,6.6,16000.0,21000000.0,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610,2600,5.0,51888.89,12526677.0
1993.0,7.3,18000.0,22000000.0,131.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,4471,6.0,53933.33,25842377.0
2005.0,6.9,64000.0,2000000.0,116.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,930,6.0,255666.67,5969708.0
1994.0,5.3,12000.0,45000000.0,123.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,3107,5.0,27428.57,30806194.0
2011.0,8.1,790000.0,125000000.0,130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,4052,7.0,446857.14,1342321665.0
2012.0,6.7,109000.0,10000000.0,101.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708,2630,6.0,70000.0,11681781.0
2018.0,6.3,121000.0,62000000.0,143.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,4130,6.0,260666.67,288175335.0
1984.0,6.8,50000.0,28000000.0,116.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,320,5.0,28635.71,40400657.0
1993.0,6.1,26000.0,10000000.0,103.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,3820,4.0,26000.0,56500758.0
1996.0,6.9,15000.0,9000000.0,123.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,4134,5.0,151300.0,41590886.0
1984.0,7.0,44000.0,22000000.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1374,552,7.0,91214.29,28744356.0
1981.0,7.3,21000.0,12500000.0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,1574,6.0,90833.33,20962615.0
1988.0,6.3,5800.0,19000000.0,127.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,524,2047,6.0,8165.25,25816139.0
2009.0,5.7,57000.0,65000000.0,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2851,6.0,62833.33,106387141.0
2010.0,5.7,116000.0,52000000.0,125.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,2398,6.0,57938.89,216485654.0
2004.0,4.5,41000.0,25000000.0,97.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,2656,6.0,101666.67,71255003.0
1982.0,7.7,19000.0,9500000.0,122.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,802,6.0,8165.25,14000000.0
1988.0,6.4,4800.0,3000000.0,110.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1787,4.0,5250.0,1984315.0
2013.0,6.4,88000.0,135000000.0,96.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,913,6.0,57000.0,282570682.0
2009.0,4.7,271000.0,50000000.0,130.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,2903,6.0,137400.0,711025481.0
2001.0,7.4,63000.0,4500000.0,106.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1023,1558,6.0,254200.0,6582065.0
2006.0,6.6,172000.0,72500000.0,108.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4431,7.0,245000.0,163362095.0
1996.0,5.2,9300.0,30000000.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,4061,4.0,13080.0,31387164.0
1985.0,6.9,49000.0,8000000.0,98.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,1548,5.0,15636.36,59612888.0
2000.0,4.9,12000.0,60000000.0,94.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,1071,4.0,12000.0,51880044.0
1989.0,6.2,11000.0,15000000.0,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,1365,5.0,16866.67,40586886.0
2006.0,7.2,71000.0,13000000.0,120.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,4335,0.0,49262.96,17471727.0
2017.0,7.6,62000.0,38000000.0,134.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1503,3891,6.0,292000.0,26351322.0
1985.0,5.5,63000.0,3000000.0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1133,946,4.0,28100.0,29999213.0
2001.0,7.1,37000.0,1500000.0,98.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1067,1631,6.0,37000.0,1309316.0
2016.0,6.3,47000.0,15000000.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,2278,6.0,47000.0,20651333.0
2003.0,6.2,207000.0,75000000.0,106.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,953,5.0,124200.0,195745823.0
2007.0,8.1,886000.0,25000000.0,122.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,825,2061,8.0,290142.86,171627166.0
1997.0,3.9,76000.0,160000000.0,121.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,1527,5.0,160600.0,164508066.0
2004.0,7.2,221000.0,30000000.0,127.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1873,399,5.0,396200.0,612054506.0
1989.0,6.1,20000.0,8000000.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,1548,5.0,15636.36,39450960.0
1999.0,6.5,127000.0,40000000.0,123.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,204,6.0,91009.09,96618699.0
1997.0,6.8,7100.0,9000000.0,103.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1949,2987,5.0,18875.0,334319.0
1983.0,7.1,78000.0,10000000.0,91.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,862,2399,8.0,80263.64,25697647.0
1994.0,5.6,25000.0,25000000.0,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,1022,5.0,23200.0,30626182.0
1990.0,5.8,35000.0,25000000.0,102.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,2178,5.0,79500.0,39404261.0
2007.0,4.5,22000.0,15000000.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,4347,4.0,35800.0,146741.0
1981.0,7.4,47000.0,18000000.0,108.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318,520,7.0,126088.24,12000000.0
1991.0,5.4,3700.0,17000000.0,98.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,4524,4.0,3700.0,2865916.0
2001.0,7.6,273000.0,21000000.0,110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873,4421,5.0,256222.22,71444482.0
1994.0,5.4,11000.0,15000000.0,97.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068,3197,5.0,76250.0,6821850.0
2014.0,5.7,25000.0,1000000.0,87.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1679,3404,6.0,25000.0,24343.0
2015.0,6.0,19000.0,65000000.0,127.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,880,6.0,19000.0,122606884.0
2013.0,5.6,48000.0,35000000.0,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,2366,6.0,48000.0,46522137.0
2015.0,7.1,370000.0,190000000.0,137.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,706,7.0,275222.22,1515341399.0
2008.0,5.7,59000.0,40000000.0,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646,2493,4.0,70166.67,49944325.0
2006.0,7.8,297000.0,40000000.0,139.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,2894,5.0,396200.0,120673227.0
1984.0,7.5,46000.0,28000000.0,138.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,211,402,6.0,68575.0,47951979.0
2002.0,7.2,107000.0,140000000.0,95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2431,3656,4.0,215000.0,110041363.0
1998.0,6.1,11000.0,27000000.0,122.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,773,6.0,110058.82,10452012.0
