year,score,votes,runtime,genre_mapped,director_mapped,star_mapped,votos_por_director,rating_mapped,facutracion_por_director,budget,facturacion_por_genre,gross
2000.0,4.9,12000.0,94.0,17.0,40.0,80.0,30064.61,8.0,36815715.74,60000000.0,44331874.3,51880044.0
2000.0,4.9,17000.0,90.0,16.0,60.0,80.0,102137.26,8.0,87793911.98,90000000.0,47372409.13,14828081.0
2000.0,5.3,27000.0,98.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,20000000.0,44331874.3,18404706.0
2000.0,5.0,15000.0,91.0,17.0,40.0,90.0,30064.61,8.0,36815715.74,11000000.0,44331874.3,24419914.0
2000.0,6.7,32000.0,119.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,8500000.0,145508580.85,13200972.0
2000.0,4.2,20000.0,92.0,13.0,40.0,100.0,30064.61,10.0,36815715.74,76000000.0,239229987.45,35134820.0
2000.0,6.2,14000.0,87.0,17.0,50.0,80.0,82822.56,6.0,74591008.15,10000000.0,44331874.3,1961544.0
2000.0,4.4,49000.0,106.0,17.0,50.0,90.0,82822.56,8.0,74591008.15,84000000.0,44331874.3,166339890.0
2000.0,6.9,59000.0,106.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,14000000.0,39401196.17,60103680.0
2000.0,6.3,56000.0,135.0,19.0,60.0,90.0,102137.26,6.0,87793911.98,65000000.0,145508580.85,62761005.0
2000.0,6.6,11000.0,135.0,17.0,70.0,80.0,149101.61,6.0,118734218.5,10000000.0,44331874.3,2463650.0
2000.0,6.9,40000.0,92.0,15.0,40.0,80.0,30064.61,6.0,36815715.74,8000000.0,38930959.49,11155214.0
2000.0,4.2,3900.0,85.0,18.0,40.0,80.0,30064.61,9.0,36815715.74,19000000.0,109325230.22,19748009.0
2000.0,7.0,39000.0,101.0,15.0,60.0,90.0,102137.26,6.0,87793911.98,10000000.0,38930959.49,148701.0
2000.0,6.9,20000.0,115.0,17.0,40.0,90.0,30064.61,10.0,36815715.74,24000000.0,44331874.3,36609995.0
2000.0,5.4,16000.0,94.0,17.0,40.0,90.0,30064.61,8.0,36815715.74,35000000.0,44331874.3,25850615.0
2000.0,5.5,10000.0,94.0,17.0,40.0,80.0,30064.61,8.0,36815715.74,32000000.0,44331874.3,9902115.0
2000.0,6.6,5300.0,96.0,17.0,40.0,80.0,30064.61,6.0,36815715.74,250000.0,44331874.3,1182065.0
2000.0,5.6,25000.0,103.0,15.0,40.0,80.0,30064.61,8.0,36815715.74,65000000.0,38930959.49,90726668.0
2000.0,5.7,29000.0,117.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,60000000.0,145508580.85,40400425.0
2000.0,4.5,9200.0,96.0,19.0,40.0,70.0,30064.61,8.0,36815715.74,4000000.0,145508580.85,4224065.0
2000.0,6.2,5700.0,95.0,17.0,40.0,80.0,30064.61,0.0,36815715.74,1500000.0,44331874.3,268117.0
2000.0,5.8,11000.0,119.0,19.0,50.0,90.0,82822.56,6.0,74591008.15,51000000.0,145508580.85,15471969.0
2000.0,6.9,18000.0,93.0,17.0,40.0,90.0,30064.61,6.0,36815715.74,10000000.0,44331874.3,28741330.0
2000.0,6.0,9200.0,112.0,15.0,40.0,80.0,30064.61,6.0,36815715.74,2000000.0,38930959.49,2046433.0
2000.0,7.0,13000.0,90.0,15.0,40.0,80.0,30064.61,1.0,36815715.74,1000000.0,38930959.49,24963.0
2000.0,4.6,20000.0,87.0,19.0,40.0,80.0,30064.61,6.0,36815715.74,25000000.0,145508580.85,15843608.0
2000.0,4.6,18000.0,122.0,17.0,70.0,80.0,149101.61,6.0,118734218.5,23000000.0,44331874.3,22844291.0
2000.0,6.4,20000.0,115.0,13.0,50.0,90.0,82822.56,6.0,74591008.15,24000000.0,39401196.17,924036.0
2000.0,4.3,16000.0,97.0,16.0,40.0,90.0,30064.61,6.0,36815715.74,14000000.0,47372409.13,38574362.0
2000.0,5.3,10000.0,92.0,17.0,40.0,90.0,30064.61,6.0,36815715.74,8000000.0,44331874.3,10194274.0
2000.0,5.4,14000.0,107.0,17.0,40.0,80.0,30064.61,8.0,36815715.74,24000000.0,44331874.3,12452362.0
2000.0,5.2,13000.0,84.0,17.0,50.0,80.0,82822.56,6.0,74591008.15,24000000.0,44331874.3,13743212.0
2000.0,6.9,23000.0,126.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,20000000.0,38930959.49,22428990.0
2000.0,7.9,51000.0,114.0,13.0,40.0,90.0,30064.61,6.0,36815715.74,1500000.0,39401196.17,12413888.0
2000.0,7.0,7300.0,94.0,17.0,40.0,80.0,30064.61,6.0,36815715.74,1000000.0,44331874.3,2019121.0
2000.0,4.7,4400.0,105.0,15.0,50.0,80.0,82822.56,8.0,74591008.15,24000000.0,38930959.49,5280035.0
